,Powerplant Name,gppd_idnr,Capacity (MW),Primary Fuel,Owner,Source,distance_to_water_km,Longitude,Latitude
28882,Victor Valley CC CPV Solar,USA0057254,1.0,Solar,Victor Valley Community College District,U.S. Energy Information Administration,114.7471416299083,-117.2579,34.4802
28883,Victoria,USA0003443,376.9,Gas,Victoria WLE  LP,U.S. Energy Information Administration,67.01954604708011,-97.01,28.7883
28884,Victoria Dam,USA0001774,12.0,Hydro,Upper Peninsula Power Company,U.S. Energy Information Administration,22.966127198344225,-89.2089,46.6964
28885,Victoria Texas Plant,USA0010790,102.4,Gas,Invista,U.S. Energy Information Administration,53.98396584205105,-96.956,28.6751
28886,Victory Garden (Tehachapi),USA0050532,18.8,Wind,Wind Stream Operations LLC,U.S. Energy Information Administration,117.04312111339624,-118.3833,35.0686
28887,Victory Garden Phase IV LLC,USA0052160,22.0,Wind,Terra-Gen Operating Co LLC,U.S. Energy Information Administration,118.04075934880773,-118.3664,35.076
28888,Victory Mills,USA0010902,1.7,Hydro,Consolidated Hydro New York  Inc.,U.S. Energy Information Administration,0.6021558099648704,-76.5477,42.9197
28889,Victory Solar LLC,USA0060764,12.8,Solar,Victory Solar LLC,U.S. Energy Information Administration,39.85535238279424,-104.433,39.795
28890,Victory Wind Farm,USA0056379,99.0,Wind,MidAmerican Energy Co,U.S. Energy Information Administration,84.62061376696091,-95.1292,42.1169
28891,Vienna Operations,USA0001564,180.6,Oil,NRG Vienna Operations Inc,U.S. Energy Information Administration,37.42509418040333,-75.8208,38.4878
28892,Vienna Wind Farm,USA0057874,150.2,Wind,MidAmerican Energy Co,U.S. Energy Information Administration,50.66229782449763,-92.7761,42.1594
28893,Vieques EPP,WRI1028006,6.0,Oil,,CEPR,0.0,-65.444,18.1429
28894,Viking,USA0056147,1.0,Oil,Alaska Power and Telephone Co,U.S. Energy Information Administration,0.0,-133.1023,55.5407
28895,Viking Energy of Lincoln,USA0050772,18.0,Waste,Viking Energy Corp,U.S. Energy Information Administration,9.242136232036026,-83.4167,44.68
28896,Viking Energy of McBain,USA0050770,18.0,Waste,Viking Energy Corp,U.S. Energy Information Administration,67.78053057743342,-85.2206,44.204
28897,Viking Wind Partners,USA0056153,12.0,Wind,Allete Clean Energy,U.S. Energy Information Administration,21.94786078640005,-96.0118,43.9835
28898,Vilas Solar Array,USA0061606,4.0,Solar,AEP Onsite Partners,U.S. Energy Information Administration,80.38708548300721,-102.466,37.384
